,ligand,cluster_name
14621,EQY,EQY
14622,6T3,6T3
14623,FZV,FZV
14624,6CY,6CY
14625,TCP,TCP
14626,701,701
14627,EXY,EXY
14628,EXW,EXW
14629,EXS,EXS
14630,706,706
14631,6XX,6XX
14632,EXD,EXD
14633,YD3,YD3-like
14634,6XW,YD3-like
14635,FKQ,FKQ
14636,6VR,6VR
14637,6VS,6VS
14638,FKK,FKK
14639,6VU,6VU
14640,FKE,FKE
14641,FKB,FKB
14642,FK9,FK9
14643,EY2,EY2
14644,EYM,EYM-like
14645,EYA,EYM-like
14646,7G0,7G0
14647,EX7,EX7
14648,F04,F04
14649,70Y,70Y
14650,F02,F02
14651,EZW,EZW
14652,EZT,EZT
14653,EYE,EYE
14654,6ZM,6ZM
14655,6ZN,6ZN
14656,EWS,EWS
14657,EWQ,EWQ
14658,EWM,EWM
14659,EWE,EWE
14660,EWD,EWD
14661,EW4,EW4
14662,EW1,EW1
14663,FJV,FJV
14664,FKV,FKV
14665,FKY,FKY
14666,6W5,6W5
14667,FJA,FJA
14668,6VM,6VM
14669,6X9,6X9
14670,FIS,FIS
14671,6XD,6XD
14672,FIL,FIL
14673,6XF,6XF
14674,6XH,6XH
14675,6XI,6XI
14676,FOU,FOU
14677,FOS,FOS
14678,FOQ,FOQ
14679,6XJ,6XJ
14680,FOI,FOI
14681,6XK,6XK
14682,6VK,6VK
14683,FJK,FJK
14684,FIH,FIH
14685,6WF,6WF
14686,6W6,6W6
14687,FLE,FLE
14688,FL8,FL8
14689,FL5,FL5
14690,FL2,FL2
14691,6WB,6WB
14692,FJN,FJN
14693,FJQ,FJQ
14694,6VN,6VN
14695,FI3,FI3
14696,FHY,FHY
14697,FHN,FHN
14698,FHI,FHI
14699,FHH,FHH
14700,F06,F06
14701,F0A,F0A
14702,70X,70X
14703,EUW,EUW
14704,6Z1,6Z1
14705,6Z2,6Z2
14706,F0Y,F0Y
14707,F6J,F6J
14708,F6D,F6D
14709,F6B,F6B
14710,F1E,F1E-like
14711,F0W,F1E-like
14712,EUQ,EUQ
14713,EUI,EUI
14714,TR7,TR7-like
14715,6ZB,TR7-like
14716,EU8,EU8
14717,6ZC,6ZC
14718,EU4,EU4
14719,6ZF,6ZF
14720,ETV,ETV
14721,F70,F70
14722,F54,F54
14723,6Z5,6Z5
14724,7GC,7GC
14725,F8Z,F8Z
14726,7G3,7G3
14727,F8J,F8J
14728,F8H,F8H
14729,F8G,F8G
14730,F8D,F8D
14731,F5V,F5V
14732,F57,F57
14733,F5S,F5S
14734,7GE,7GE
14735,F5N,F5N
14736,7GL,7GL
14737,F5D,F5D
14738,F5C,F5C
14739,EUS,EUS
14740,EVT,EVT
14741,F0D,F0D
14742,EVO,EVO
14743,ESO,ESO
14744,70E,70E
14745,EVY,EVY
14746,EZP,EZP
14747,EZM,EZM
14748,EZG,EZG
14749,EZH,EZH-like
14750,EZE,EZH-like
14751,EZ7,EZ7
14752,EZ2,EZ2
14753,EZ1,EZ1
14754,EYQ,EYQ
14755,EZR,EZR
14756,70Q,70Q
14757,F0N,F0N
14758,70W,70W
14759,ESY,ESY
14760,ESZ,ESZ
14761,6ZK,6ZK
14762,6Y8,6Y8
14763,EUY,EUY
14764,6Y3,6Y3
14765,6Y4,6Y4
14766,ETQ,ETQ
14767,ESE,ESE
14768,6Y6,6Y6
14769,ERS,ERS
14770,6ZJ,6ZJ
14771,ERP,ERP
14772,ERO,ERO
14773,6YC,6YC
14774,ERD,ERD
14775,ETP,ETP
14776,6YK,6YK
14777,6XM,6XM
14778,FOB,FOB
14779,X32,X32-like
14780,6XO,X32-like
14781,T9H,T9H
14782,LJ4,LJ4
14783,LJ5,LJ5
14784,T8B,T8B
14785,T88,T88
14786,T80,T80
14787,T7M,T7M
14788,T77,T77
14789,72E,72E
14790,T75,T75
14791,T74,T74
14792,72F,72F
14793,T8X,T8X
14794,72H,72H
14795,TAA,TAA
14796,TA9,TA9
14797,727,727
14798,FEE,FEE
14799,FEM,FEM
14800,FDR,FDR
14801,FGR,FGR
14802,76G,76G-like
14803,766,76G-like
14804,FGG,FGG
14805,76C,76C
14806,FE8,FE8
14807,76J,76J
14808,FDL,FDL
14809,724,724
14810,FH2,FH2-like
14811,FDK,FH2-like
14812,FDJ,FDJ
14813,74G,74G
14814,FEW,FEW
14815,FEV,FEV
14816,74F,74F
14817,72L,72L
14818,T98,T98
14819,76Y,76Y
14820,T97,T97
14821,TEI,TEI
14822,TEF,TEF
14823,TE7,TE7
14824,TE4,TE4
14825,742,742
14826,743,743
14827,TCT,TCT
14828,747,747
14829,TBO,TBO
14830,749,749
14831,74A,74A
14832,TB9,TB9
14833,TAO,TAO
14834,73Q,73Q
14835,TBZ,TBZ
14836,73X,73X
14837,TFY,TFY-like
14838,TEY,TFY-like
14839,TAJ,TAJ
14840,T33,T33
14841,T95,T95
14842,86J,86J-like
14843,72R,86J-like
14844,72S,72S
14845,72U,72U
14846,722,722
14847,T3O,T3O
14848,71D,71D
14849,72T,72T
14850,T4K,T4K
14851,71I,71I
14852,71N,71N
14853,71Q,71Q
14854,721,721
14855,T4P,T4P
14856,FGS,FGS
14857,FH8,FH8
14858,6XR,6XR
14859,75G,75G
14860,6WW,6WW
14861,FMV,FMV
14862,6WX,6WX
14863,6WY,6WY
14864,6WZ,6WZ
14865,FNJ,FNJ
14866,FNI,FNI
14867,6X2,6X2
14868,FNF,FNF
14869,6X3,6X3
14870,FN8,FN8
14871,FMZ,FMZ
14872,75M,75M
14873,FC8,FC8
14874,FC7,FC7
14875,6WU,6WU
14876,6WT,6WT
14877,FM9,FM9
14878,FP3,FP3
14879,FP4,FP4
14880,6XT,6XT
14881,6WL,6WL
14882,FPE,FPE
14883,FPB,FPB
14884,6WM,6WM
14885,FNZ,FNZ
14886,6WS,6WS
14887,TFS,TFS-like
14888,FMS,TFS-like
14889,FMO,FMO
14890,6WN,6WN
14891,6WP,6WP
14892,6WQ,6WQ
14893,6WR,6WR
14894,75E,75E
14895,75J,75J
14896,77J,77J
14897,FBY,FBY
14898,753,753
14899,FB4,FB4
14900,FAW,FAW
14901,FAQ,FAQ
14902,76Z,76Z
14903,774,774
14904,FDD,FDD
14905,775,775
14906,FG4,FG4
14907,FFW,FFW
14908,779,779
14909,FFH,FFH
14910,77D,77D
14911,77N,77N-like
14912,77G,77N-like
14913,FG7,FG7
14914,FBC,FBC
14915,FAJ,FAJ
14916,752,752
14917,FCG,FCG
14918,75L,75L
14919,75N,75N
14920,714,714
14921,75X,75X
14922,759,759
14923,FDW,FDW-like
14924,FCZ,FDW-like
14925,FCE,FCE
14926,750,750
14927,FAA,FAA
14928,74V,74V
14929,74X,74X
14930,74Y,74Y
14931,F9K,F9K
14932,F9J,F9J
14933,7G1,7G1
14934,7FZ,7FZ
14935,6CG,6CG
14936,782,782
14937,FUY,FUY
14938,78B,78B
14939,FUU,FUU
14940,FUR,FUR
14941,FQ7,FQ7
14942,79B,79B
14943,GJ1,GJ1
14944,GIP,GIP
14945,GIO,GIO
14946,GIN,GIN
14947,7A7,7A7
14948,7A8,7A8
14949,GI4,GI4
14950,GI3,GI3
14951,GI2,GI2
14952,789,789
14953,FVH,FVH
14954,F8E,F8E
14955,FVK,FVK
14956,FX8,FX8
14957,FX5,FX5
14958,797,797
14959,79A,79A
14960,FU8,FU8
14961,FU7,FU7
14962,FU5,FU5
14963,FU3,FU3
14964,77V,77V
14965,77W,77W
14966,FTS,FTS
14967,FUJ,FUJ
14968,FUK,FUK
14969,77X,77X
14970,77Z,77Z
14971,GI1,GI1
14972,7AA,7AA
14973,GKH,GKH
14974,GKG,GKG
14975,GGA,GGA
14976,7K0,7K0-like
14977,79F,7K0-like
14978,79G,79G
14979,79K,79K
14980,GHW,GHW
14981,GHV,GHV
14982,FJI,FJI-like
14983,79Q,FJI-like
14984,GHC,GHC
14985,79X,79X
14986,7E5,7E5
14987,S2D,S2D-like
14988,7J3,S2D-like
14989,GNW,GNW
14990,GNR,GNR
14991,GNM,GNM
14992,GNJ,GNJ
14993,GGC,GGC
14994,7A0,7A0
14995,7A1,7A1
14996,GJZ,GJZ
14997,GKE,GKE
14998,GKD,GKD
14999,GKB,GKB
15000,GKA,GKA
15001,GK9,GK9
15002,7AG,7AG
15003,7AK,7AK
15004,7A3,7A3
15005,7AL,7AL
15006,7AM,7AM
15007,GKK,GKK
15008,7AO,7AO
15009,GHX,GHX
15010,GGT,GGT
15011,FXE,FXE
15012,FXN,FXN
15013,D67,D67-like
15014,78Z,D67-like
15015,FTC,FTC
15016,G2N,G2N
15017,G3S,G3S
15018,7B0,7B0
15019,7B2,7B2
15020,G4J,G4J
15021,7B3,7B3
15022,7B8,7B8
15023,7BA,7BA
15024,G74,G74
15025,FSD,FSD
15026,FSB,FSB
15027,FS5,FS5
15028,7DS,7DS-like
15029,7DK,7DS-like
15030,FSP,FSP
15031,FSQ,FSQ
15032,G2V,G2V
15033,G37,G37
15034,G3I,G3I
15035,A1Y,A1Y
15036,G68,G68-like
15037,G5T,G68-like
15038,G5B,G5B
15039,6CP,6CP
15040,6CQ,6CQ
15041,G4W,G4W
15042,6UX,6UX
15043,7BT,7BT
15044,G5Z,G5Z
15045,G6T,G6T
15046,G6J,G6J
15047,G6I,G6I
15048,7BV,7BV
15049,G6G,G6G
15050,7BY,7BY
15051,7DP,7DP
15052,FTA,FTA
15053,FXY,FXY
15054,7DW,7DW
15055,FRG,FRG
15056,FRB,FRB
15057,FRA,FRA
15058,7CT,7CT
15059,7CZ,7CZ
15060,FTK,FTK
15061,FTP,FTP
15062,7AV,7AV
15063,FWH,FWH
15064,78J,78J
15065,FW8,FW8
15066,FW2,FW2
15067,G8W,G8W-like
15068,FVZ,G8W-like
15069,78S,78S
15070,78V,78V
15071,FRJ,FRJ
15072,7CP,7CP
15073,FRM,FRM
15074,FQP,FQP
15075,7DX,7DX
15076,FRY,FRY
15077,FRW,FRW
15078,FQY,FQY
15079,FQV,FQV
15080,FQT,FQT
15081,7E4,7E4
15082,FRQ,FRQ
15083,FQD,FQD
15084,FQC,FQC
15085,7D6,7D6
15086,FRX,FRX
15087,7CK,7CK
15088,FR9,FR9-like
15089,FR4,FR9-like
15090,GNI,GNI
15091,GNF,GNF
15092,7J8,7J8
15093,7EN,7EN
15094,F3C,F3C
15095,7ED,7ED
15096,F38,F38
15097,F35,F35
15098,F34,F34
15099,F33,F33
15100,7EF,7EF
15101,F2Y,F2Y
15102,F2U,F2U
15103,7EG,7EG
15104,F2R,F2R
15105,F3W,F3W
15106,F4W,F4W
15107,F4N,F4N
15108,7EL,7EL
15109,F3D,F3D
15110,7EA,7EA
15111,7F1,7F1
15112,GBH,GBH
15113,GC1,GC1
15114,7F9,7F9
15115,GBW,GBW
15116,7FD,7FD
15117,GBO,GBO
15118,GBI,GBI
15119,7FG,7FG
15120,7FR,7FR
15121,7FJ,7FJ
15122,7FL,7FL
15123,GCZ,GCZ
15124,7FO,7FO
15125,7FP,7FP
15126,7FQ,7FQ
15127,7EM,7EM
15128,7EO,7EO
15129,GC8,GC8
15130,F4E,F4E
15131,F2H,F2H
15132,7GZ,7GZ
15133,F2C,F2C
15134,F2B,F2B
15135,F27,F27
15136,F23,F23
15137,F1X,F1X
15138,F1V,F1V
15139,F1T,F1T
15140,F7T,F7T
15141,7HA,7HA
15142,F7M,F7M
15143,7HE,7HE
15144,F7D,F7D
15145,F7B,F7B
15146,7GW,7GW
15147,F2N,F2N
15148,7GV,7GV
15149,7FS,7FS
15150,7EQ,7EQ
15151,7ES,7ES
15152,F49,F49
15153,7EV,7EV
15154,F2K,F2K
15155,7EY,7EY
15156,7FU,7FU
15157,F10,F10
15158,F1D,F1D
15159,F1C,F1C
15160,F1B,F1B
15161,F19,F19
15162,F14,F14
15163,7GT,7GT
15164,7F7,7F7
15165,GDI,GDI
15166,7J9,7J9
15167,G9M,G9M
15168,GMV,GMV
15169,GMR,GMR
15170,7HL,7HL
15171,7HM,7HM
15172,7HO,7HO
15173,7HS,7HS
15174,GM0,GM0
15175,G76,G76
15176,GFV,GFV
15177,7I2,7I2
15178,GA7,GA7
15179,7I6,7I6
15180,7IA,7IA
15181,7IG,7IG
15182,G9W,G9W
15183,GLT,GLT
15184,GLS,GLS
15185,GKZ,GKZ
15186,GON,GON
15187,GN5,GN5
15188,GN4,GN4
15189,GO0,GO0
15190,GO1,GO1
15191,GOV,GOV
15192,GOS,GOS
15193,GOM,GOM
15194,GL7,GL7-like
15195,GL2,GL7-like
15196,GOH,GOH
15197,GOE,GOE
15198,7JH,7JH
15199,GOB,GOB
15200,GO8,GO8
15201,7JJ,7JJ
15202,G9V,G9V
15203,G9K,G9K
15204,NOX,NOX-like
15205,GEP,NOX-like
15206,G9G,G9G
15207,G91,G91
15208,G90,G90
15209,7K3,7K3
15210,G8K,G8K
15211,G8J,G8J
15212,7K6,7K6
15213,G8E,G8E
15214,G8B,G8B
15215,7KE,7KE
15216,GDQ,GDQ
15217,7KK,7KK
15218,7HH,7HH
15219,GF5,GF5
15220,GEZ,GEZ
15221,GEV,GEV
15222,G95,G95
15223,7JY,7JY
15224,G9B,G9B
15225,G9D,G9D
15226,G9F,G9F
15227,GB5,GB5
15228,GB4,GB4
15229,GB0,GB0
15230,7KY,7KY
15231,GAE,GAE
15232,G84,G84
15233,7LG,7LG
15234,G7Z,G7Z
15235,G7K,G7K
15236,G7H,G7H
15237,G7G,G7G
15238,G7E,G7E
15239,NRY,NRY-like
15240,7LF,NRY-like
15241,JZZ,JZZ
15242,K01,K01
15243,K02,K02
15244,7MW,7MW
15245,7N0,7N0
15246,GPO,GPO-like
15247,GPH,GPO-like
15248,GPG,GPG
15249,7MC,7MC
15250,GR9,GR9
15251,GR7,GR7-like
15252,GR6,GR7-like
15253,GR3,GR3
15254,7LM,7LM
15255,GT1,GT1
15256,7LU,7LU
15257,GVP,GVP
15258,7LY,7LY
15259,7LZ,7LZ
15260,7M1,7M1
15261,GVC,GVC
15262,7MY,7MY
15263,GPX,GPX
15264,H01,H01
15265,GQ2,GQ2
15266,7UV,7UV
15267,7UX,7UX
15268,7UY,7UY
15269,7PS,7PS
15270,GSZ,GSZ
15271,GSY,GSY
15272,9PQ,9PQ-like
15273,7PQ,9PQ-like
15274,7MB,7MB
15275,7MD,7MD
15276,GSL,GSL
15277,7MF,7MF
15278,GT0,GT0
15279,7MP,7MP
15280,GQ7,GQ7
15281,7MR,7MR
15282,GVB,GVB
15283,7M2,7M2
15284,7M4,7M4
15285,7M5,7M5
15286,GU0,GU0
15287,GU1,GU1
15288,GUT,GUT
15289,H3B,H3B-like
15290,7PA,H3B-like
15291,GUL,GUL
15292,GU3,GU3
15293,GU2,GU2
15294,7PJ,7PJ
15295,7PM,7PM
15296,H5A,H5A
15297,HHF,HHF
15298,HHE,HHE
15299,7NA,7NA
15300,7NC,7NC
15301,7NG,7NG
15302,7P2,7P2
15303,7P1,7P1
15304,7P0,7P0
15305,GW7,GW7
15306,HAK,HAK-like
15307,GV2,HAK-like
15308,7M7,7M7
15309,GUY,GUY
15310,7N3,7N3
15311,GWA,GWA
15312,GW8,GW8
15313,GW6,GW6
15314,GUW,GUW
15315,GW3,GW3
15316,GW2,GW2
15317,GVZ,GVZ
15318,YF4,YF4-like
15319,GVV,YF4-like
15320,GVS,GVS
15321,GUX,GUX
15322,GRL,GRL
15323,GRM,GRM
15324,7UL,7UL
15325,H4P,H4P
15326,GYE,GYE
15327,GYA,GYA
15328,H0Z,H0Z
15329,H10,H10
15330,7PV,7PV
15331,7PY,7PY
15332,O2D,O2D-like
15333,H3V,O2D-like
15334,7Q1,7Q1
15335,7Q7,7Q7
15336,H3M,H3M
15337,7QM,7QM
15338,7QV,7QV
15339,H38,H38
15340,H53,H53
15341,H4Z,H4Z
15342,7TD,7TD
15343,GYL,GYL
15344,GYQ,GYQ
15345,7SV,7SV
15346,GXN,GXN
15347,7SK,7SK
15348,7SP,7SP
15349,7WD,7WD
15350,7SS,7SS
15351,GXA,GXA
15352,7SY,7SY
15353,GYR,GYR
15354,7T1,7T1
15355,7T7,7T7
15356,GWP,GWP
15357,GXQ,GXQ
15358,GXS,GXS
15359,7TA,7TA
15360,H4T,H4T
15361,7RD,7RD
15362,7UJ,7UJ
15363,H4H,H4H
15364,7TP,7TP
15365,7TQ,7TQ
15366,7TR,7TR
15367,LZG,LZG-like
15368,H25,LZG-like
15369,H23,H23
15370,7TX,7TX
15371,7U3,7U3
15372,H1Z,H1Z
15373,7U6,7U6
15374,H59,H59
15375,7U9,7U9
15376,7UC,7UC-like
15377,B3Q,7UC-like
15378,B3E,7UC-like
15379,7UD,7UD
15380,GRX,GRX
15381,7UG,7UG
15382,7W7,7W7
15383,7W3,7W3
15384,7VX,7VX
15385,H1I,H1I
15386,H4G,H4G
15387,7RG,7RG
15388,H4D,H4D
15389,H2Z,H2Z
15390,H31,H31-like
15391,H1P,H31-like
15392,7VC,7VC
15393,7VF,7VF
15394,H13,H13
15395,KRI,KRI-like
15396,H1D,KRI-like
15397,7VG,7VG
15398,7VJ,7VJ
15399,7VL,7VL
15400,H15,H15
15401,M74,M74-like
15402,H14,M74-like
15403,HGZ,HGZ
15404,HGP,HGP
15405,7NS,7NS
15406,HD1,HD1
15407,H5V,H5V
15408,H5U,H5U
15409,H5S,H5S
15410,H5P,H5P
15411,H5E,H5E
15412,H6D,H6D
15413,H6E,H6E
15414,H7E,H7E
15415,H7D,H7D
15416,H7A,H7A
15417,HZV,HZV-like
15418,H77,HZV-like
15419,H71,H71
15420,H70,H70
15421,H6M,H6M-like
15422,H6G,H6M-like
15423,7WH,7WH
15424,H5W,H5W
15425,7Y0,7Y0
15426,H62,H62
15427,H9E,H9E
15428,H90,H90
15429,84T,84T
15430,HA5,HA5
15431,851,851
15432,H9Y,H9Y
15433,H9J,H9J
15434,8ZU,8ZU-like
15435,81J,8ZU-like
15436,H64,H64
15437,H98,H98
15438,H97,H97
15439,H94,H94
15440,H7G,H7G
15441,H6B,H6B
15442,H68,H68
15443,HD5,HD5
15444,7WO,7WO
15445,H7M,H7M
15446,HCQ,HCQ
15447,HC1,HC1
15448,HBW,HBW
15449,HBU,HBU
15450,HBT,HBT
15451,819,819
15452,J96,J96-like
15453,J34,J96-like
15454,803,803
15455,KRH,KRH
15456,KR4,KR4
15457,KR2,KR2
15458,7Z9,7Z9
15459,KRX,KRX
15460,KRY,KRY
15461,KS4,KS4
15462,7ZS,7ZS
15463,HC2,HC2
15464,HC5,HC5
15465,HC7,HC7
15466,7XA,7XA
15467,7WX,7WX
15468,7X5,7X5-like
15469,7X4,7X5-like
15470,HCH,HCH
15471,HCG,HCG
15472,HE5,HE5
15473,HDX,HDX
15474,HDL,HDL
15475,HC8,HC8
15476,HDG,HDG
15477,7YU,7YU
15478,HCE,HCE
15479,HB8,HB8
15480,HAV,HAV
15481,HBG,HBG
15482,84P,84P
15483,H7T,H7T
15484,7NV,7NV
15485,HLA,HLA
15486,83G,83G
15487,83H,83H
15488,HG8,HG8
15489,HG5,HG5
15490,HFY,HFY
15491,HJ4,HJ4
15492,82S,82S
15493,HLV,HLV
15494,HLS,HLS
15495,HLP,HLP
15496,HLM,HLM
15497,HLK,HLK
15498,HLJ,HLJ
15499,81U,81U
15500,HLE,HLE
15501,837,837
15502,833,833
15503,HEK,HEK
15504,HI3,HI3
15505,7O2,7O2
15506,HIG,HIG
15507,7O4,7O4
15508,HID,HID
15509,HIB,HIB
15510,HI4,HI4
15511,7O7,7O7
15512,831,831
15513,HI0,HI0
15514,HHZ,HHZ
15515,HHW,HHW
15516,HF8,HF8
15517,HEP,HEP
15518,HEO,HEO
15519,HLB,HLB
15520,HL8,HL8
15521,84G,84G
15522,HMZ,HMZ
15523,85M,85M
15524,HL1,HL1
15525,85S,85S
15526,HKW,HKW
15527,85X,85X
15528,85Z,85Z
15529,865,865
15530,866,866
15531,857,857
15532,HKA,HKA
15533,854,854
15534,H8E,H8E
15535,H89,H89
15536,H86,H86
15537,84F,84F
15538,85F,85F
15539,85D,85D
15540,85C,85C
15541,HL5,HL5-like
15542,LED,HL5-like
15543,HMY,HMY
15544,826,826
15545,HMQ,HMQ
15546,HMV,HMV-like
15547,HMJ,HMV-like
15548,HMD,HMD
15549,HMB,HMB
15550,HK2,HK2
15551,HJ8,HJ8
15552,82M,82M
15553,HJZ,HJZ
15554,HJQ,HJQ
15555,858,858
15556,859,859
15557,85A,85A
15558,GXP,GXP
15559,7SD,7SD
15560,K03,K03
15561,87O,87O
15562,HNF,HNF
15563,86V,86V
15564,HNB,HNB
15565,HN8,HN8
15566,86Y,86Y
15567,872,872
15568,877,877
15569,HP5,HP5
15570,HP2,HP2
15571,HP1,HP1
15572,HOS,HOS
15573,HOQ,HOQ
15574,HOM,HOM
15575,87D,87D
15576,HOJ,HOJ
15577,86S,86S
15578,HO8,HO8-like
15579,HNZ,HO8-like
15580,H0E,H0E
15581,HO1,HO1
15582,HQ8,HQ8
15583,HQ7,HQ7
15584,HQ6,HQ6
15585,HQ2,HQ2
15586,HPW,HPW
15587,HPT,HPT
15588,88G,88G
15589,88J,88J
15590,HRT,HRT
15591,HRQ,HRQ
15592,HRO,HRO
15593,HR6,HR6
15594,HR4,HR4
15595,HPM,HPM
15596,HPJ,HPJ
15597,87G,87G
15598,HRY,HRY
15599,HV4,HV4
15600,HV2,HV2
15601,89A,89A
15602,89F,89F
15603,HTZ,HTZ
15604,89I,89I
15605,89L,89L
15606,89O,89O
15607,HTK,HTK
15608,HTF,HTF
15609,HTC,HTC
15610,HT8,HT8
15611,HTJ,HTJ
15612,ICX,ICX
15613,IUU,IUU
15614,8LV,8LV
15615,IUG,IUG
15616,893,893
15617,HSG,HSG
15618,HSJ,HSJ
15619,HV9,HV9
15620,88U,88U
15621,89Y,89Y
15622,8A1,8A1-like
15623,DIV,8A1-like
15624,8A4,8A4
15625,8AD,8AD
15626,HU8,HU8
15627,HVG,HVG
15628,89U,89U
15629,8AX,8AX
15630,HWB,HWB
15631,HW2,HW2
15632,HVV,HVV
15633,HVM,HVM
15634,M01,M01-like
15635,HVE,M01-like
15636,88A,88A
15637,889,889
15638,HQG,HQG
15639,HYV,HYV
15640,8C6,8C6
15641,8B9,8B9
15642,8BD,8BD
15643,HY3,HY3-like
15644,XPC,HY3-like
15645,XCP,HY3-like
15646,HXS,HXS
15647,HXM,HXM
15648,8BM,8BM
15649,HX7,HX7
15650,8BU,8BU
15651,8BX,8BX
15652,8BY,8BY
15653,HZH,HZH
15654,HZ4,HZ4
15655,HZ3,HZ3
15656,AFV,AFV-like
15657,8DJ,AFV-like
15658,8DD,8DD
15659,I24,I24
15660,8DA,8DA
15661,I08,I08-like
15662,I05,I08-like
15663,I18,I18
15664,8CD,8CD
15665,8CG,8CG
15666,I0P,I0P
15667,I0D,I0D
15668,I09,I09
15669,I1N,I1N
15670,8D7,8D7
15671,I04,I04-like
15672,I01,I04-like
15673,I32,I32
15674,8CY,8CY
15675,I30,I30
15676,I2P,I2P
15677,I28,I28
15678,HYY,HYY
15679,HYS,HYS
15680,887,887
15681,8EZ,8EZ
15682,8EM,8EM
15683,I43,I43
15684,8EP,8EP
15685,I3S,I3S
15686,I5P,I5P
15687,I8P,I8P
15688,I84,I84
15689,I7B,I7B
15690,888,888
15691,I6G,I6G
15692,I66,I66
15693,I5W,I5W
15694,883,883
15695,HX3,HX3
15696,885,885
15697,8EC,8EC-like
15698,8E6,8EC-like
15699,8E4,8E4
15700,I58,I58
15701,8FM,8FM
15702,I3M,I3M
15703,IB3,IB3
15704,IB2,IB2
15705,IAG,IAG
15706,8FK,8FK
15707,8FL,8FL
15708,IBF,IBF
15709,8DX,8DX
15710,ICH,ICH
15711,ICG,ICG
15712,IC9,IC9
15713,IC1,IC1
15714,IBZ,IBZ
15715,8DR,8DR
15716,IU1,IU1
15717,ITE,ITE
15718,8M1,8M1
15719,IOK,IOK
15720,IGC,IGC
15721,IFB,IFB
15722,IFA,IFA
15723,8GM,8GM
15724,IEO,IEO
15725,8FY,8FY
15726,IE8,IE8
15727,IE6,IE6
15728,IE4,IE4
15729,IDX,IDX
15730,IOF,IOF
15731,IOC,IOC
15732,IOB,IOB
15733,INW,INW
15734,INV,INV
15735,IDV,IDV
15736,ID2,ID2
15737,ID5,ID5
15738,8HN,8HN
15739,IKM,IKM
15740,IK1,IK1
15741,8HE,8HE
15742,IIH,IIH
15743,IIG,IIG
15744,8HM,8HM
15745,IDN,IDN
15746,ID6,ID6
15747,IDK,IDK
15748,IDI,IDI
15749,IDH,IDH
15750,IDF,IDF
15751,IDD,IDD
15752,IDB,IDB
15753,8GJ,8GJ
15754,GAM,GAM-like
15755,8GL,GAM-like
15756,MGN,GAM-like
15757,IL3,IL3
15758,8HV,8HV
15759,IN2,IN2
15760,8K8,8K8-like
15761,8JN,8K8-like
15762,8JM,8JM
15763,8ID,8ID
15764,GZQ,GZQ
15765,H0B,H0B-like
15766,GZN,H0B-like
15767,GZH,GZH
15768,GZE,GZE
15769,8IR,8IR
15770,8J8,8J8
15771,GYZ,GYZ
15772,8JJ,8JJ
15773,86M,86M
15774,H0J,H0J
15775,7SM,7SM
15776,IMQ,IMQ
15777,8JP,8JP
15778,IN1,IN1
15779,8K2,8K2
15780,IPP,IPP
15781,8HY,8HY
15782,IOT,IOT
15783,8K1,8K1
15784,IMB,IMB
15785,IMA,IMA
15786,IMS,IMS-like
15787,IM8,IMS-like
15788,IPW,IPW
15789,IM7,IM7
15790,ILV,ILV
15791,ILI,ILI
15792,8K9,8K9
15793,8KB,8KB
15794,SDK,SDK-like
15795,INA,SDK-like
15796,IKY,IKY
15797,8GY,8GY
15798,IV2,IV2
15799,J2Z,J2Z
15800,IRC,IRC
15801,UBU,UBU-like
15802,8L5,UBU-like
15803,8L8,8L8
15804,ISF,ISF
15805,IS3,IS3
15806,IS1,IS1
15807,IRO,IRO
15808,IXF,IXF
15809,8LF,8LF
15810,J1I,J1I
15811,8NM,8NM
15812,J1E,J1E
15813,J1D,J1D
15814,J18,J18
15815,J15,J15
15816,UBZ,UBZ-like
15817,8L2,UBZ-like
15818,IQ6,IQ6
15819,IQ7,IQ7
15820,IW4,IW4
15821,8M5,8M5
15822,IXD,IXD
15823,8M7,8M7
15824,IWW,IWW
15825,IWT,IWT
15826,IW6,IW6
15827,IVS,IVS
15828,IQP,IQP
15829,IXE,IXE
15830,IR9,IR9
15831,IR8,IR8
15832,8LL,8LL
15833,IR2,IR2
15834,IQX,IQX
15835,8NS,8NS
15836,J2W,J2W
15837,IGN,IGN
15838,J2T,J2T
15839,J0J,J0J
15840,8NA,8NA
15841,8NB,8NB
15842,IPX,IPX
15843,8ND,8ND
15844,IHX,IHX
15845,IHU,IHU
15846,IHQ,IHQ
15847,IHC,IHC
15848,IH6,IH6
15849,IH5,IH5
15850,IH4,IH4
15851,8GS,8GS
15852,8GV,8GV
15853,II4,II4
15854,J0M,J0M
15855,8MR,8MR
15856,IXN,IXN
15857,J20,J20
15858,J2Q,J2Q
15859,J2N,J2N
15860,J2I,J2I
15861,J2G,J2G
15862,J2A,J2A
15863,8O0,8O0
15864,J0T,J0T
15865,IXZ,IXZ-like
15866,IXV,IXZ-like
15867,8MP,8MP
15868,IYZ,IYZ
15869,IYG,IYG
15870,IY7,IY7
15871,IY1,IY1
15872,IXW,IXW
15873,KS7,KS7
15874,9RY,9RY-like
15875,7ZY,9RY-like
15876,8OA,8OA
15877,JD7,JD7
15878,JCH,JCH
15879,JCD,JCD
15880,8OM,8OM
15881,JC4,JC4
15882,UBW,UBW-like
15883,JC2,UBW-like
15884,JBW,JBW
15885,8OT,8OT
15886,JD8,JD8
15887,JDB,JDB
15888,8OU,8OU
15889,JED,JED
15890,JEA,JEA
15891,JE8,JE8
